当前时间: 0.0
当前时间: 1.0
车辆 ID: flow_8_1, 速度: 16.0, 行驶距离: 64.0
车辆 ID: flow_8_2, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_9_0, 速度: 16.67, 行驶距离: 147.01500000000004
车辆 ID: flow_9_1, 速度: 16.0, 行驶距离: 64.0
车辆 ID: flow_9_2, 速度: 6.0, 行驶距离: 9.0
当前时间: 14.0
车辆 ID: flow_0_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_0_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_0_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_10_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_10_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_10_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_11_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_11_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_11_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_1_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_1_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_1_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_2_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_2_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_2_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_3_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_3_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_3_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_4_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_4_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_4_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_5_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_5_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_5_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_6_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_6_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_6_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_7_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_7_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_7_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_8_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_8_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_8_2, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_9_0, 速度: 16.67, 行驶距离: 163.68500000000006
车辆 ID: flow_9_1, 速度: 16.67, 行驶距离: 80.33500000000001
车辆 ID: flow_9_2, 速度: 8.0, 行驶距离: 16.0
当前时间: 15.0
车辆 ID: flow_0_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_0_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_0_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_10_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_10_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_10_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_11_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_11_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_11_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_1_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_1_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_1_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_2_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_2_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_2_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_3_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_3_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_3_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_4_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_4_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_4_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_5_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_5_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_5_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_6_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_6_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_6_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_7_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_7_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_7_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_8_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_8_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_8_2, 速度: 10.0, 行驶距离: 25.0
车辆 ID: flow_9_0, 速度: 16.67, 行驶距离: 180.35500000000008
车辆 ID: flow_9_1, 速度: 16.67, 行驶距离: 97.00500000000001
车辆 ID: flow_9_2, 速度: 10.0, 行驶距离: 25.0
当前时间: 16.0
车辆 ID: flow_0_0, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_0_1, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_0_2, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_0_3, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_10_0, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_10_1, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_10_2, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_10_3, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_11_0, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_11_1, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_11_2, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_11_3, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_1_0, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_1_1, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_1_2, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_1_3, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_2_0, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_2_1, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_2_2, 速度: 12.0, 行驶距离: 36.0
